indicator,specialty,period,proportion
IR1,orthopedics,2023-T1,0.282209
IR1,orthopedics,2023-T2,0.658824
IR1,orthopedics,2023-T3,0.869822
IR1,orthopedics,2024-T1,0.852071
IR1,orthopedics,2024-T2,0.892045
IR1,orthopedics,2024-T3,0.858156
IR1,orthopedics,2024-T4,0.894444
IR1,cardiology,2023-T1,0.594595
IR1,cardiology,2023-T2,0.857143
IR1,cardiology,2023-T3,0.883333
IR1,cardiology,2024-T1,0.790323
IR1,cardiology,2024-T2,0.893333
IR1,cardiology,2024-T3,0.810811
IR1,cardiology,2024-T4,0.714286
IR1,gynecology_hysterectomy,1Y,0.304688
IR1,gynecology_ovariectomy,1Y,0.465686
IR2,orthopedics,2023-T1,0.727273
IR2,orthopedics,2023-T2,0.625000
IR2,orthopedics,2023-T3,0.500000
IR2,orthopedics,2024-T1,0.666667
IR2,orthopedics,2024-T2,0.360000
IR2,orthopedics,2024-T3,0.176471
IR2,orthopedics,2024-T4,0.375000
IR2,cardiology,2023-T1,0.740741
IR2,cardiology,2023-T2,0.833333
IR2,cardiology,2023-T3,0.851852
IR2,cardiology,2024-T1,0.888889
IR2,cardiology,2024-T2,0.875000
IR2,cardiology,2024-T3,0.777778
IR2,cardiology,2024-T4,0.619048
IR2,gynecology_hysterectomy,1Y,0.928571
IR2,gynecology_ovariectomy,1Y,0.846154
IR3,orthopedics,2023-T1,0.666667
IR3,orthopedics,2023-T2,0.888889
IR3,orthopedics,2023-T3,0.928571
IR3,orthopedics,2024-T1,0.928571
IR3,orthopedics,2024-T2,1.000000
IR3,orthopedics,2024-T3,1.000000
IR3,orthopedics,2024-T4,1.000000
IR3,cardiology,2023-T1,0.662162
IR3,cardiology,2023-T2,0.826923
IR3,cardiology,2023-T3,0.848000
IR3,cardiology,2024-T1,0.911111
IR3,cardiology,2024-T2,0.793814
IR3,cardiology,2024-T3,0.876543
IR3,cardiology,2024-T4,0.884058
IR3,gynecology_hysterectomy,1Y,
IR3,gynecology_ovariectomy,1Y,0.777778
IR4,orthopedics,2023-T1,0.104294
IR4,orthopedics,2023-T2,0.096000
IR4,orthopedics,2023-T3,0.041420
IR4,orthopedics,2024-T1,0.047337
IR4,orthopedics,2024-T2,0.017045
IR4,orthopedics,2024-T3,0.056738
IR4,orthopedics,2024-T4,0.061111
IR4,cardiology,2023-T1,0.288288
IR4,cardiology,2023-T2,0.201754
IR4,cardiology,2023-T3,0.300813
IR4,cardiology,2024-T1,0.309524
IR4,cardiology,2024-T2,0.278146
IR4,cardiology,2024-T3,0.357143
IR4,cardiology,2024-T4,0.239669
IR4,gynecology_hysterectomy,1Y,0.007576
IR4,gynecology_ovariectomy,1Y,0.076923
IR5,orthopedics,2023-T1,0.141104
IR5,orthopedics,2023-T2,0.231214
IR5,orthopedics,2023-T3,0.106509
IR5,orthopedics,2024-T1,0.153846
IR5,orthopedics,2024-T2,0.147727
IR5,orthopedics,2024-T3,0.138889
IR5,orthopedics,2024-T4,0.131148
IR5,cardiology,2023-T1,0.414414
IR5,cardiology,2023-T2,0.359649
IR5,cardiology,2023-T3,0.422764
IR5,cardiology,2024-T1,0.370079
IR5,cardiology,2024-T2,0.480263
IR5,cardiology,2024-T3,0.562500
IR5,cardiology,2024-T4,0.421488
IR5,gynecology_hysterectomy,1Y,0.166667
IR5,gynecology_ovariectomy,1Y,0.451389
