period_index,period,start,end,specialty,n_surgeries,n_cpa,n_checkup,n_eligible,n_corrected,n_transfused,n_episodes,n_single_unit,n_low_hb
0,2023-T1,2023-05-01,2023-07-31,orthopedics,163,163,46,11,8,17,24,16,23
0,2023-T1,2023-05-01,2023-07-31,cardiology,111,111,66,27,20,32,74,49,46
0,2023-T1,2023-05-01,2023-07-31,gynecology,66,64,16,6,3,3,7,3,32
1,2023-T2,2023-08-01,2023-10-31,orthopedics,170,170,112,8,5,12,18,16,40
1,2023-T2,2023-08-01,2023-10-31,cardiology,114,112,96,18,15,23,52,43,41
1,2023-T2,2023-08-01,2023-10-31,gynecology,78,78,29,6,6,8,9,7,22
2,2023-T3,2023-11-01,2024-01-31,orthopedics,169,169,147,12,6,7,14,13,18
2,2023-T3,2023-11-01,2024-01-31,cardiology,123,120,106,27,23,37,125,106,52
2,2023-T3,2023-11-01,2024-01-31,gynecology,59,58,17,6,6,3,3,3,17
3,2024-T1,2024-02-01,2024-04-30,orthopedics,169,169,144,9,6,8,14,13,26
3,2024-T1,2024-02-01,2024-04-30,cardiology,126,124,98,18,16,39,90,82,47
3,2024-T1,2024-02-01,2024-04-30,gynecology,60,59,36,10,6,3,3,3,6
4,2024-T2,2024-05-01,2024-07-31,orthopedics,176,176,157,25,9,3,3,3,26
4,2024-T2,2024-05-01,2024-07-31,cardiology,151,150,134,24,21,42,97,77,73
4,2024-T2,2024-05-01,2024-07-31,gynecology,77,73,34,6,6,3,7,6,6
5,2024-T3,2024-08-01,2024-10-31,orthopedics,141,141,121,17,3,8,12,12,20
5,2024-T3,2024-08-01,2024-10-31,cardiology,112,111,90,18,14,40,81,71,63
5,2024-T3,2024-08-01,2024-10-31,gynecology,56,56,24,6,6,3,3,3,6
6,2024-T4,2024-11-01,2025-01-31,orthopedics,180,180,161,32,12,11,43,43,24
6,2024-T4,2024-11-01,2025-01-31,cardiology,121,119,85,21,13,29,69,61,51
6,2024-T4,2024-11-01,2025-01-31,gynecology,69,68,26,6,6,6,15,10,6
